Alabama,52420.07
Alaska,665384.04
Arizona,113990.3
Arkansas,53178.55
California,163694.74
Colorado,104093.67
Connecticut,5543.41
Delaware,2488.72
Florida,65757.7
Georgia,59425.15
Hawaii,10931.72
Idaho,83568.95
Illinois,57913.55
Indiana,36419.55
Iowa,56272.81
Kansas,82278.36
Kentucky,40407.8
Louisiana,52378.13
Maine,35379.74
Maryland,12405.93
Massachusetts,10554.39
Michigan,96713.51
Minnesota,86935.83
Mississippi,48431.78
Missouri,69706.99
Montana,147039.71
Nebraska,77347.81
Nevada,110571.82
New Hampshire,9349.16
New Jersey,8722.58
New Mexico,121590.3
New York,54554.98
North Carolina,53819.16
North Dakota,70698.32
Ohio,44825.58
Oklahoma,69898.87
Oregon,98378.54
Pennsylvania,46054.34
Rhode Island,1544.89
South Carolina,32020.49
South Dakota,77115.68
Tennessee,42144.25
Texas,268596.46
Utah,84896.88
Vermont,9616.36
Virginia,42774.93
Washington,71297.95
West Virginia,24230.04
Wisconsin,65496.38
Wyoming,97813.01
Puerto Rico,5324.84
